Date,Region,Product,Category,Revenue,COGS,Operating_Cost,Marketing_Cost,Total_Cost,Profit,Profit_Margin_%,Calculated_Profit,Calculated_Profit_Margin_%
2023-04-15,South,Product C,Office Supplies,11150,15547,10667,5845,32059,-20909,-187.52,-20909,-187.52466367713006
2023-04-16,South,Product C,Office Supplies,9425,20259,13149,1022,34430,-25005,-265.31,-25005,-265.3050397877984
2023-04-17,South,Product C,Office Supplies,21032,3763,2798,1021,7582,13450,63.95,13450,63.95017116774439
2023-04-18,West,Product D,Furniture,7198,10712,11037,5378,27127,-19929,-276.87,-19929,-276.8685746040567
2023-04-19,South,Product D,Furniture,25079,7797,10600,2820,21217,3862,15.4,3862,15.39933809163045
2023-04-20,East,Product D,Furniture,41220,11208,6291,1435,18934,22286,54.07,22286,54.06598738476468
2023-04-21,West,Product A,Furniture,46874,25483,6495,2730,34708,12166,25.95,12166,25.954687033323374
2023-04-22,East,Product B,Furniture,18859,7109,10900,4540,22549,-3690,-19.57,-3690,-19.56625483853863
2023-04-23,West,Product D,Furniture,36419,25028,14673,6284,45985,-9566,-26.27,-9566,-26.266509239682584
2023-04-24,South,Product B,Furniture,13705,18500,12130,5083,35713,-22008,-160.58,-22008,-160.5837285662167
2023-04-25,East,Product B,Office Supplies,47880,4433,7284,6446,18163,29717,62.07,29717,62.0655806182122
2023-04-26,West,Product C,Office Supplies,28236,23847,8285,5441,37573,-9337,-33.07,-9337,-33.06771497379232
2023-04-27,North,Product A,Office Supplies,27419,18967,2300,6767,28034,-615,-2.24,-615,-2.2429702031438055
2023-04-28,South,Product D,Office Supplies,24978,26970,7869,7628,42467,-17489,-70.02,-17489,-70.01761550164144
2023-04-29,West,Product C,Furniture,42609,22172,10435,4197,36804,5805,13.62,5805,13.62388227839189
2023-04-30,North,Product C,Electronics,20358,29344,13168,3337,45849,-25491,-125.21,-25491,-125.21367521367522
2023-05-01,West,Product D,Furniture,39177,6167,4097,4583,14847,24330,62.1,24330,62.10276437705797
2023-05-02,North,Product B,Electronics,34378,26849,5616,2961,35426,-1048,-3.05,-1048,-3.048461225202164
2023-05-03,South,Product C,Office Supplies,42334,28589,1009,6599,36197,6137,14.5,6137,14.496622100439364
2023-05-04,East,Product B,Furniture,16382,19773,14271,6344,40388,-24006,-146.54,-24006,-146.5388841411305
2023-05-05,North,Product A,Office Supplies,19596,10357,11617,3743,25717,-6121,-31.24,-6121,-31.235966523780363
2023-05-06,West,Product B,Furniture,38572,28143,6752,3859,38754,-182,-0.47,-182,-0.4718448615576066
2023-05-07,South,Product A,Office Supplies,18221,8154,10852,1185,20191,-1970,-10.81,-1970,-10.811700784808737
2023-05-08,North,Product B,Electronics,6279,23804,11823,2660,38287,-32008,-509.76,-32008,-509.76270106704885
2023-05-09,West,Product C,Electronics,12083,10920,7295,7531,25746,-13663,-113.08,-13663,-113.0762227923529
2023-05-10,West,Product C,Electronics,48861,20427,5815,4488,30730,18131,37.11,18131,37.10730439409754
2023-05-11,West,Product A,Furniture,22771,22581,2072,4566,29219,-6448,-28.32,-6448,-28.316718633349435
2023-05-12,North,Product D,Electronics,34975,21880,4225,6765,32870,2105,6.02,2105,6.018584703359543
2023-05-13,North,Product A,Furniture,24063,19162,14146,2067,35375,-11312,-47.01,-11312,-47.00993226114782
2023-05-14,North,Product A,Electronics,7106,2213,2316,5841,10370,-3264,-45.93,-3264,-45.933014354066984
2023-05-15,East,Product B,Electronics,29557,5762,6699,538,12999,16558,56.02,16558,56.02057042324999
2023-05-16,North,Product B,Furniture,25607,15399,13337,3044,31780,-6173,-24.11,-6173,-24.10668957706877
2023-05-17,North,Product A,Furniture,42599,11768,7807,5375,24950,17649,41.43,17649,41.4305500129111
2023-05-18,North,Product C,Electronics,33529,12640,7674,1756,22070,11459,34.18,11459,34.17638462226729
2023-05-19,East,Product B,Furniture,40954,8731,4683,3490,16904,24050,58.72,24050,58.72442252283049
2023-05-20,North,Product D,Electronics,32856,29512,8227,2696,40435,-7579,-23.07,-7579,-23.067324080837594
2023-05-21,West,Product B,Furniture,7573,21501,4273,3968,29742,-22169,-292.74,-22169,-292.7373563977288
2023-05-22,North,Product B,Office Supplies,17808,7791,8000,7665,23456,-5648,-31.72,-5648,-31.716082659478882
2023-05-23,West,Product D,Office Supplies,40367,17822,1145,3208,22175,18192,45.07,18192,45.06651472737632
2023-05-24,West,Product A,Office Supplies,41801,10783,6010,6523,23316,18485,44.22,18485,44.22143010932753
2023-05-25,West,Product D,Office Supplies,46196,15621,4040,801,20462,25734,55.71,25734,55.70612174214218
2023-05-26,East,Product A,Office Supplies,39072,18019,10654,6881,35554,3518,9.0,3518,9.003890253890253
2023-05-27,East,Product A,Electronics,28752,4720,13868,1146,19734,9018,31.36,9018,31.364774624373958
2023-05-28,East,Product A,Office Supplies,22685,10905,10776,5258,26939,-4254,-18.75,-4254,-18.752479612078467
2023-05-29,North,Product D,Office Supplies,46401,11127,1482,6879,19488,26913,58.0,26913,58.00090515290619
2023-05-30,West,Product A,Office Supplies,16372,24431,4179,2259,30869,-14497,-88.55,-14497,-88.54752015636453
2023-05-31,East,Product C,Office Supplies,13996,26416,2249,6846,35511,-21515,-153.72,-21515,-153.7224921406116
2023-06-01,East,Product D,Furniture,21458,18385,13960,4851,37196,-15738,-73.34,-15738,-73.34327523534347
2023-06-02,North,Product C,Electronics,36889,8368,1630,1097,11095,25794,69.92,25794,69.92328336360433
2023-06-03,East,Product A,Office Supplies,31665,29424,9853,1161,40438,-8773,-27.71,-8773,-27.705668719406283
2023-06-04,North,Product B,Office Supplies,43243,16056,12695,4830,33581,9662,22.34,9662,22.343500682191337
2023-06-05,South,Product A,Office Supplies,36653,14236,3852,1868,19956,16697,45.55,16697,45.5542520393965
2023-06-06,East,Product C,Electronics,31657,20333,11658,3081,35072,-3415,-10.79,-3415,-10.787503553716398
2023-06-07,South,Product C,Furniture,44952,25116,1987,7503,34606,10346,23.02,10346,23.01566114967076
2023-06-08,North,Product D,Electronics,27180,16451,8622,4368,29441,-2261,-8.32,-2261,-8.318616629874908
2023-06-09,West,Product B,Furniture,36896,26217,8327,4037,38581,-1685,-4.57,-1685,-4.566890719861232
2023-06-10,East,Product D,Office Supplies,17875,19301,10738,5365,35404,-17529,-98.06,-17529,-98.06433566433567
2023-06-11,North,Product C,Office Supplies,6622,21558,9841,7184,38583,-31961,-482.65,-31961,-482.64874660223495
2023-06-12,West,Product A,Electronics,45809,12433,10160,4808,27401,18408,40.18,18408,40.18424327097295
2023-06-13,West,Product B,Electronics,21725,17525,11829,5058,34412,-12687,-58.4,-12687,-58.39815880322209
2023-06-14,South,Product A,Furniture,45760,25398,2100,7079,34577,11183,24.44,11183,24.438374125874127
2023-06-15,North,Product A,Furniture,20646,2089,7652,782,10523,10123,49.03,10123,49.03128935387
2023-06-16,West,Product B,Electronics,22029,20093,9632,4178,33903,-11874,-53.9,-11874,-53.90167506468746
2023-06-17,East,Product D,Furniture,34402,12361,8421,1986,22768,11634,33.82,11634,33.81780129062264
2023-06-18,East,Product A,Electronics,9263,18369,6016,4582,28967,-19704,-212.72,-19704,-212.71726222606068
2023-06-19,South,Product C,Furniture,35987,5041,1769,6026,12836,23151,64.33,23151,64.33156417595242
2023-06-20,West,Product A,Electronics,13646,2105,2343,4683,9131,4515,33.09,4515,33.08661878938884
2023-06-21,North,Product B,Electronics,32529,11078,5358,5663,22099,10430,32.06,10430,32.06369700882289
2023-06-22,East,Product B,Electronics,16664,27003,12921,960,40884,-24220,-145.34,-24220,-145.34325492078733
2023-06-23,West,Product B,Furniture,40737,20279,13098,2825,36202,4535,11.13,4535,11.132385791786337
2023-06-24,West,Product D,Furniture,40796,8090,10769,4254,23113,17683,43.34,17683,43.34493577801745
2023-06-25,South,Product A,Furniture,29027,26892,7780,2968,37640,-8613,-29.67,-8613,-29.672373996623836
2023-06-26,East,Product D,Electronics,34373,8082,13200,2224,23506,10867,31.61,10867,31.614930323218804
2023-06-27,East,Product D,Furniture,41397,19018,7602,1876,28496,12901,31.16,12901,31.164094016474625
2023-06-28,North,Product B,Furniture,25609,3925,14286,3243,21454,4155,16.22,4155,16.224764731149204
2023-06-29,East,Product B,Electronics,40835,20440,12543,1014,33997,6838,16.75,6838,16.74543896167503
2023-06-30,North,Product D,Office Supplies,43709,8917,13987,1202,24106,19603,44.85,19603,44.84888695691963
2023-07-01,East,Product A,Electronics,24250,21528,3349,2153,27030,-2780,-11.46,-2780,-11.463917525773196
2023-07-02,South,Product C,Furniture,26172,28846,12794,2566,44206,-18034,-68.91,-18034,-68.90570074889195
2023-07-03,East,Product D,Electronics,16555,28015,6699,522,35236,-18681,-112.84,-18681,-112.84204167925098
2023-07-04,North,Product A,Office Supplies,26874,2552,2241,2960,7753,19121,71.15,19121,71.15055443923495
2023-07-05,North,Product B,Electronics,18081,27291,2125,5649,35065,-16984,-93.93,-16984,-93.9328576959239
2023-07-06,South,Product B,Furniture,29063,23767,11793,6426,41986,-12923,-44.47,-12923,-44.46547156177959
2023-07-07,East,Product A,Office Supplies,11819,5911,10382,6751,23044,-11225,-94.97,-11225,-94.97419409425501
2023-07-08,East,Product C,Furniture,30712,28289,7764,1804,37857,-7145,-23.26,-7145,-23.26452201094035
2023-07-09,South,Product B,Office Supplies,29762,5389,6101,7795,19285,10477,35.2,10477,35.202607351656475
2023-07-10,East,Product B,Office Supplies,16046,27683,13323,3800,44806,-28760,-179.23,-28760,-179.23470023681915
2023-07-11,East,Product B,Electronics,36463,15629,14031,5730,35390,1073,2.94,1073,2.9427090475276305
2023-07-12,North,Product A,Electronics,33769,26826,13640,6779,47245,-13476,-39.91,-13476,-39.906423050727
2023-07-13,East,Product D,Furniture,28150,4430,8843,861,14134,14016,49.79,14016,49.790408525754884
2023-07-14,East,Product B,Electronics,7711,28630,1072,7853,37555,-29844,-387.03,-29844,-387.0315134223836
2023-07-15,South,Product D,Electronics,9853,2458,6472,4227,13157,-3304,-33.53,-3304,-33.532934131736525
2023-07-16,South,Product C,Office Supplies,34077,15395,11106,6772,33273,804,2.36,804,2.3593626199489393
2023-07-17,West,Product B,Electronics,28863,2207,6189,6495,14891,13972,48.41,13972,48.407996396770955
2023-07-18,North,Product B,Office Supplies,26792,2899,3472,1784,8155,18637,69.56,18637,69.56180949537175
2023-07-19,East,Product C,Office Supplies,45483,13653,12238,1014,26905,18578,40.85,18578,40.846030384979
2023-07-20,East,Product B,Office Supplies,13942,29961,1707,948,32616,-18674,-133.94,-18674,-133.9406111031416
2023-07-21,West,Product D,Furniture,6762,18405,2804,6519,27728,-20966,-310.06,-20966,-310.0561963916001
2023-07-22,East,Product A,Furniture,36987,10601,7704,7771,26076,10911,29.5,10911,29.499553897315273
2023-07-23,North,Product D,Furniture,20850,2894,4713,6102,13709,7141,34.25,7141,34.249400479616305
2023-07-24,West,Product A,Office Supplies,17112,2514,6051,5843,14408,2704,15.8,2704,15.801776531089292
2023-07-25,North,Product A,Furniture,29058,25678,11756,2355,39789,-10731,-36.93,-10731,-36.929589097666735
2023-07-26,West,Product D,Furniture,43890,23288,3475,5469,32232,11658,26.56,11658,26.561859193438142
2023-07-27,West,Product D,Electronics,5481,26251,4610,4062,34923,-29442,-537.16,-29442,-537.1647509578544
2023-07-28,South,Product D,Furniture,37921,6109,5255,3020,14384,23537,62.07,23537,62.068510851507085
2023-07-29,North,Product D,Furniture,45385,15258,12015,3581,30854,14531,32.02,14531,32.017186295031394
2023-07-30,East,Product C,Office Supplies,6524,17313,8397,1928,27638,-21114,-323.64,-21114,-323.635806253832
2023-07-31,East,Product B,Office Supplies,39888,17349,2735,4467,24551,15337,38.45,15337,38.45016044925792
2023-08-01,North,Product A,Office Supplies,20048,9179,10777,6945,26901,-6853,-34.18,-6853,-34.18296089385475
2023-08-02,East,Product D,Office Supplies,40111,12326,9258,6874,28458,11653,29.05,11653,29.05188103014136
2023-08-03,East,Product D,Office Supplies,42904,13787,12253,6350,32390,10514,24.51,10514,24.505873578221145
2023-08-04,North,Product D,Office Supplies,39008,29532,8979,1422,39933,-925,-2.37,-925,-2.3713084495488106
2023-08-05,West,Product C,Furniture,5060,3560,3428,3637,10625,-5565,-109.98,-5565,-109.98023715415019
2023-08-06,North,Product D,Office Supplies,14130,15612,13345,7580,36537,-22407,-158.58,-22407,-158.57749469214437
2023-08-07,West,Product D,Office Supplies,23023,19650,8426,2659,30735,-7712,-33.5,-7712,-33.49693784476393
2023-08-08,East,Product D,Electronics,18350,28745,9533,5632,43910,-25560,-139.29,-25560,-139.29155313351498
2023-08-09,East,Product B,Furniture,29354,22022,6249,6012,34283,-4929,-16.79,-4929,-16.7915786604892
2023-08-10,East,Product C,Furniture,33145,27325,11966,3047,42338,-9193,-27.74,-9193,-27.735706743098504
2023-08-11,South,Product D,Furniture,39020,21811,6291,3479,31581,7439,19.06,7439,19.06458226550487
2023-08-12,West,Product A,Office Supplies,25587,6780,3817,7241,17838,7749,30.28,7749,30.284910306014773
2023-08-13,South,Product A,Office Supplies,46131,20311,11853,2781,34945,11186,24.25,11186,24.248336259781926
2023-08-14,South,Product A,Office Supplies,14650,13894,10424,3149,27467,-12817,-87.49,-12817,-87.48805460750853
2023-08-15,North,Product C,Electronics,24933,4356,4874,813,10043,14890,59.72,14890,59.72004973328521
2023-08-16,South,Product C,Office Supplies,25581,6790,11593,3113,21496,4085,15.97,4085,15.968883155466948
2023-08-17,North,Product A,Electronics,28393,28911,10686,3583,43180,-14787,-52.08,-14787,-52.07973796358257
2023-08-18,North,Product D,Furniture,28051,18690,5211,2756,26657,1394,4.97,1394,4.969519803215572
2023-08-19,South,Product C,Office Supplies,31212,26363,1661,6593,34617,-3405,-10.91,-3405,-10.909265667051134
2023-08-20,West,Product A,Electronics,9090,22049,13075,1537,36661,-27571,-303.31,-27571,-303.3113311331133
2023-08-21,West,Product A,Electronics,11960,12181,14753,6252,33186,-21226,-177.47,-21226,-177.47491638795987
2023-08-22,West,Product D,Office Supplies,40772,9057,12811,3989,25857,14915,36.58,14915,36.581477484548216
2023-08-23,West,Product B,Furniture,26520,18082,11060,7687,36829,-10309,-38.87,-10309,-38.872549019607845
2023-08-24,West,Product C,Furniture,41408,2661,11526,3134,17321,24087,58.17,24087,58.16991885625966
2023-08-25,South,Product D,Furniture,33470,6644,4374,4483,15501,17969,53.69,17969,53.68688377651628
2023-08-26,South,Product A,Electronics,25491,17711,10208,2278,30197,-4706,-18.46,-4706,-18.46141775528618
2023-08-27,East,Product A,Electronics,6341,26887,13598,5610,46095,-39754,-626.94,-39754,-626.9358145402933
2023-08-28,West,Product D,Electronics,49623,4920,1207,5689,11816,37807,76.19,37807,76.18846099590915
2023-08-29,South,Product C,Electronics,29791,27658,3665,4395,35718,-5927,-19.9,-5927,-19.895270383672923
2023-08-30,East,Product B,Furniture,5338,18002,3493,7878,29373,-24035,-450.26,-24035,-450.26227051330085
2023-08-31,West,Product B,Office Supplies,10895,29547,7813,1624,38984,-28089,-257.82,-28089,-257.8155117026159
2023-09-01,North,Product A,Electronics,17254,16025,1632,1197,18854,-1600,-9.27,-1600,-9.273212008809551
2023-09-02,East,Product C,Electronics,16344,10946,11294,2679,24919,-8575,-52.47,-8575,-52.4657366617719
2023-09-03,South,Product B,Furniture,6750,14732,12151,1904,28787,-22037,-326.47,-22037,-326.4740740740741
2023-09-04,North,Product C,Office Supplies,7421,8236,4083,5751,18070,-10649,-143.5,-10649,-143.49818083816197
2023-09-05,North,Product C,Office Supplies,44887,18309,13944,1543,33796,11091,24.71,11091,24.70871299039811
2023-09-06,North,Product A,Furniture,10319,24462,14711,2429,41602,-31283,-303.16,-31283,-303.159220854734
2023-09-07,East,Product B,Furniture,20896,15518,11123,7179,33820,-12924,-61.85,-12924,-61.84915773353752
2023-09-08,South,Product D,Office Supplies,16918,2352,4719,1513,8584,8334,49.26,8334,49.261141978957326
2023-09-09,North,Product A,Electronics,30064,27478,8123,726,36327,-6263,-20.83,-6263,-20.832224587546566
2023-09-10,West,Product B,Office Supplies,32935,9005,11754,7821,28580,4355,13.22,4355,13.223015029603765
2023-09-11,North,Product B,Furniture,42641,16036,2679,2328,21043,21598,50.65,21598,50.65078211111371
2023-09-12,North,Product B,Electronics,34711,18542,1236,6088,25866,8845,25.48,8845,25.48183572930771
2023-09-13,East,Product B,Electronics,9806,28553,8446,5417,42416,-32610,-332.55,-32610,-332.5514990821946
2023-09-14,East,Product B,Furniture,46360,2956,5443,2523,10922,35438,76.44,35438,76.44089732528042
